"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19132","Открыть гавную страницу каталога","","Sun Feb 02 15:38:57 GMT 2025","passed","Sun Feb 02 15:39:16 GMT 2025","","remote.Catalog","remote.Catalog","openCatalog"
"","15","WikipediaTest()","","Sun Feb 02 15:38:57 GMT 2025","broken","Sun Feb 02 15:38:57 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","WikipediaTest"
"","22","WikilocalTest()","","Sun Feb 02 15:38:57 GMT 2025","broken","Sun Feb 02 15:38:57 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","WikilocalTest"
"","34","LentaTest()","","Sun Feb 02 15:38:57 GMT 2025","broken","Sun Feb 02 15:38:57 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","LentaTest"
"","6329","LoginTest()","","Sun Feb 02 15:38:39 GMT 2025","failed","Sun Feb 02 15:38:45 GMT 2025","","LoginTests","LoginTests","LoginTest"
"","11578","Поиск товара через строку поиска находит товар","","Sun Feb 02 15:38:45 GMT 2025","failed","Sun Feb 02 15:38:57 GMT 2025","","Search","Search","setSearchInput"
"","30114","LoginTest()","","Sun Feb 02 15:39:33 GMT 2025","passed","Sun Feb 02 15:40:03 GMT 2025","","remote.LoginTests","remote.LoginTests","LoginTest"
"","19042","Открыть гавную страницу каталога","","Sun Feb 02 15:38:12 GMT 2025","failed","Sun Feb 02 15:38:31 GMT 2025","","Catalog","Catalog","openCatalog"
"","7416","Выполнен ввод номера телефона кнопка получить код активна","","Sun Feb 02 15:38:31 GMT 2025","failed","Sun Feb 02 15:38:39 GMT 2025","","LoginPageTests","LoginPageTests","LoginTest"
"","17304","Выполнен ввод номера телефона кнопка получить код активна","","Sun Feb 02 15:39:16 GMT 2025","passed","Sun Feb 02 15:39:33 GMT 2025","","remote.LoginPageTests","remote.LoginPageTests","LoginTest"
"","31","successfulSearchTest()","","Sun Feb 02 15:38:57 GMT 2025","broken","Sun Feb 02 15:38:57 GMT 2025","","mobile.AndroidTest","mobile.AndroidTest","successfulSearchTest"
"","39147","Поиск товара через строку поиска находит товар","","Sun Feb 02 15:40:03 GMT 2025","passed","Sun Feb 02 15:40:42 GMT 2025","","remote.Search","remote.Search","setSearchInput"
